key,value
xiv-subida-al-pico-de-chelva-trail-tres-culturas2022,XIV SUBIDA AL PICO DE CHELVA (TRAIL TRES CULTURAS)2022
burden-tlaxcala,BURDEN TLAXCALA
gladiator-race-pontevedra,GLADIATOR RACE PONTEVEDRA
desafio-fas-2022,Desafío FAS 2022
riatildeo-trail-run-2022,RIAÑO TRAIL RUN 2022
babarrun-trail-2022,BABARRUN TRAIL 2022
10-km-fnideq-marina-smir-2022-2298,10 Km Fnideq Marina Smir 2022
39-trotada-popular,39ª TROTADA POPULAR
v-valeranica-running-2022,V VALERANICA RUNNING 2022
foradada-trail-2022, FORADADA TRAIL 2022
10k-aviles-memorial-ldquogarcia-bolantildeosrdquo-gran-premio-tsk,10k Avilés Memorial “García Bolaños” Gran Premio TSK
iv-carrera-popular-solidaria-la-serena---el-llano-en-marcha-,IV CARRERA POPULAR SOLIDARIA LA SERENA - EL LLANO EN MARCHA-
i-trail-iberica-used,I TRAIL IBERICA USED
xxxvii-volta-a-peu-sant-roc-2022,XXXVII VOLTA A PEU SANT ROC 2022
pre-inscripcin-escuelas-triatln-curso-2022-2023,PRE-INSCRIPCIÓN ESCUELAS TRIATLÓN CURSO 2022-2023
jai-lasterka,XI ZORNOTZA JAI LASTERKETA
--2022-14072,Веломарафон КРАССПОРТ-2022
power-race-astorga-2022,POWER RACE ASTORGA 2022
triatlon-de-tarragona-2022,Triatlón de Tarragona 2022
xc-hiscaguan-2022,XC HISCAGUAN 2022
la-bveda-de-torocircuito-provincial-cross-zamora,LA BÓVEDA DE TORO_CIRCUITO PROVINCIAL CROSS ZAMORA
7ordf-carrera-popular-universidad-de-burgos,7ª CARRERA POPULAR UNIVERSIDAD DE BURGOS
iii-travesia-comandacia-general-de-ceuta-torneo-militar-de-aguas-abiertas,III TRAVESIA COMANDACIA GENERAL DE CEUTA TORNEO MILITAR DE AGUAS ABIERTAS
gran-giro-mtb-cadereyta,GRAN GIRO MTB CADEREYTA
8ordf-carrera-del-esparrago-tudela-de-duero,8ª CARRERA DEL ESPARRAGO TUDELA DE DUERO
africa-stadium,AFRICA STADIUM
100x100-half-ametlla-de-mar-2022,100X100 HALF AMETLLA DE MAR 2022
ii-media-maratn-de-mengbar-geolit-y-10km-ndash-arco-de-jano-2022,II MEDIA MARATÓN DE MENGÍBAR Geolit Y 10KM – Arco de Jano 2022
sb-hotels-10k-tarragona,SB HOTELS 10K TARRAGONA
vi-marcha-cicloturista-la-indomable-2022,VI MARCHA CICLOTURISTA LA INDOMABLE 2022
xxii-carrera-urbana-arjona-2022,XXII CARRERA URBANA ARJONA 2022
40-aniversario-del-estatuto-de-autonomia-de-castilla-la-mancha---puertollano,40 Aniversario Del Estatuto De Autonomía De Castilla-la Mancha - Puertollano
lchappeetour,LÈchappeetour
24-h-non-stop-de-la-voie-romaine,24 H non stop de la Voie Romaine
11-carrera-grupo-cinemex-2022,11 Carrera Grupo Cinemex 2022
ath-salitre,ATH Salitre
colsubsidio,Colsubsidio
kosta-trail-2022,KOSTA TRAIL 2022
aspp-psp---pela-nossa-saude,ASPP-PSP - Pela Nossa Saúde
ix-ruta-vetona-los-100-de-bjar,"IX RUTA VETONA ""LOS 100 DE BÉJAR"""
carrera-dia-de-la-marina-guaymas-2022,Carrera Dia de la Marina Guaymas 2022
13ordf-carrera-de-la-mujer-en-granada-contra-el-cncer-de-mama-a-beneficio-de-aecc,13ª CARRERA DE LA MUJER EN GRANADA CONTRA EL CÁNCER DE MAMA A BENEFICIO DE AECC
bestial-race-iii-lanzarote-k10-xtreme,BESTIAL RACE III LANZAROTE K10 XTREME
trail-dota-challenge-2022,TRAIL DOTA CHALLENGE 2022
trail-de-la-fontaine-des-anes,TRAIL DE LA FONTAINE DES ANES
santander-four-dayss4d-dia-2,Santander Four days(S4D) DIA 2
santander-four-dayss4d-dia-3,Santander Four days(S4D) DIA 3
reto-rios-maya-3ra-edicion,Reto Ríos Maya  3ra Edición
xxxiii-carrera-urbana-san-jos-2022,XXXIII CARRERA URBANA SAN JOSÉ 2022
trail-de-la-calonne-2022,Trail de la Calonne 2022
swimrun-costa-azahar-2022,Swimrun Costa Azahar 2022
ultra-trini-2022,ULTRA TRINI 2022
xures-bike-tour-2022,Xurés Bike Tour 2022
trail-des-cedres-2022,Trail des cèdres 2022
5k-amp-10k-naval-2022,5K & 10K NAVAL 2022
x-milla-caleta-de-fuste-barcelo-hotels-amp-resorts,X Milla Caleta de Fuste Barceló Hotels & Resorts
algar-del-palancia,III TRAIL TERRITORI TROTALGAR 16K INCLUSIVO i XXXVII VOLTA A PEU 10K INCLUSIVO 2022
xli-cursa-popular-sant-feliu-2022-ndash-11e-memorial-miquel-vidal,XLI Cursa Popular Sant Feliu 2022 – 12è. Memorial Miquel Vidal
cross-colegio-el-prado,CROSS COLEGIO EL PRADO
viii-legua-nocturna-de-ugena,VIII LEGUA NOCTURNA DE UGENA
red-moss-2022,Red Moss 
4ordf-prueba-ciclista-de-carretera-gran-fondo-y-fondo-menasalbas-ndash-montes-de-toledo,4ª PRUEBA CICLISTA DE CARRETERA GRAN FONDO Y FONDO MENASALBAS – MONTES DE TOLEDO
gran-fondo-500-veracruz,Gran Fondo 500 Veracruz
cross-alpino-telegrafo-2022,CROSS ALPINO TELEGRAFO 2022
v-travesa-a-nado-de-benalmdena,V TRAVESÍA A NADO DE BENALMÁDENA
carrera-de-la-mujer-gijon-2022,Carrera de la Mujer Gijon 2022
xliii-carrera-pedestre-popular-toledo-poligono,XLIV Carrera Pedestre Popular Toledo-Polígono 
v-carrera-y-marcha-popular-alameda-de-la-sagra,V CARRERA Y MARCHA POPULAR ALAMEDA DE LA SAGRA
irati-xtreme-2022,IRATI XTREME 2022
v-marcha-mtb-pinares-de-yepes,V  MTB PINARES DE YEPES
10k-alboraya-contra-el-cancer,10K Alboraya contra el Cáncer
xxxiv-cross-pentildea-del-guila,XXXIV Cross Peña del Águila
trail-ulldeter-32613,TRAIL ULLDETER
arrankudiaga-zollo-trail-lasterketa-2022-araudia,ARRANKUDIAGA-ZOLLO TRAIL LASTERKETA 2022
carrera-solidaria-virtual-menudos-corazones-2022,Carrera Solidaria Virtual Menudos Corazones 2022
befit-race,BeFit Race 2022
villasexmir-xxvi-circuito-las-cinco-leguas,VILLASEXMIR _XXVI CIRCUITO LAS CINCO LEGUAS
cevico-de-la-torre-palencia-legua-a-legua-2022,CEVICO DE LA TORRE PALENCIA LEGUA A LEGUA 2022
10k-del-soto,10KM DEL SOTO
i-carrera-popular-jaca-lucha-contra-duchenne,"I Carrera Popular ""JACA LUCHA CONTRA DUCHENNE"""
santander-four-dayss4d-etapa-final,Santander Four days(S4D) ETAPA FINAL
maraton-alpino-madriletildeo-2022,MARATON ALPINO MADRILEÑO 2022
senekids,Senekids
cross-colegio-el-pardo-2022,CROSS COLEGIO EL PARDO 2022
ruta-de-la-teja---circuito-scott-7estrellas-by-eci,RUTA DE LA TEJA  - CIRCUITO SCOTT 7ESTRELLAS BY ECI
sorbas---circuito-de-carreras-populares-diputacin-de-almera-2022,SORBAS - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2022
francheville-trail,FRANCHEVILLE TRAIL
cross-del-traginer-de-balsareny-2022,Cross del Traginer de Balsareny 2022
xv-caixabank-10k-zaragoza-2020,XV CaixaBank 10K Zaragoza 2022
ix-ruta-vetona-los-100-de-bjar---mtb,"IX RUTA VETONA ""LOS 100 DE BÉJAR"" - MTB"
xxiv-triatln-cros-minas-de-la-reunin,"XXIV TRIATLÓN CROS ""MINAS DE LA REUNIÓN"""
triatln-de-matalascatildeas---playa-de-dotildeana,TRIATLÓN DE MATALASCAÑAS - PLAYA DE DOÑANA
publicis-group,Publicis Groupe
iv-triatln-escolar-comarca-cinco-villas,IV TRIATLÓN ESCOLAR COMARCA CINCO VILLAS
trail-guariza,TRAIL GUARIZA
xxvii-carrera-urbana-ciudad-de-mengbar,XXVII CARRERA URBANA ''CIUDAD DE MENGÍBAR''
infernal-running-ecce-homo-de-borja,INFERNAL RUNNING ECCE HOMO DE BORJA 2022
june-5k-and-10k-11968,June 5k and 10k
iv-trail-noturno-de-monforte,IV Trail Noturno de Monforte
iii-triatln-olmpico-no-drafting-ejea-de-los-caballeros,III TRIATLÓN OLÍMPICO NO DRAFTING EJEA DE LOS CABALLEROS
pital-race-las-duanas,"Pital Race, Las Duanas"
manantial-run-59385,Manantial RUN
xl-prueba-de-fondo-ciudad-de-durcal--ruta-boabdil,"XL Prueba de Fondo ""Ciudad de Dúrcal- Ruta Boabdil"""
iii-aquatl-santa-eulria,III AQUATLÒ SANTA EULÀRIA
cross-ojo-caliente-2022,CROSS OJO CALIENTE 2022
carrera-5k-cut-2022,Carrera 5K CUT 2022
xxi-carrera-popular-ro-tajo-azucaica,XXI CARRERA POPULAR RÍO TAJO-AZUCAICA
ix-subida-al-molino---las-ventas-con-petildea-aguilera-2022,IX SUBIDA AL MOLINO - LAS VENTAS CON PEÑA AGUILERA 2022
triatlon-astri-huatulco-gmc-2022,Triatlón AsTri Huatulco GMC 2022
triatlon-sprint-y-estandar-sin-drafting-de-aranda-de-duero,Triatlón Sprint y estandar sin Drafting de Aranda de Duero
viii-duatlon-cross-vila-de-celanova,VIII Duatlón Cross Vila de Celanova
triatlon-sprint-sin-drafting-de-aranda-de-duero,Triatlón Sprint sin Drafting de Aranda de Duero
trail-trapagaran-zugaztieta-igoera,TRAIL Trapagaran Zugaztieta Igoera 
viii-cxm-mancha-real---sierra-magina-2022,VIII CXM MANCHA REAL - SIERRA MAGINA 2022
great-irish-trail-run,Great Irish Trail Run
xxiv-subida-a-oroel-2022,XXIV Subida a Oroel 2022
babia-sherpa-tour,BABIA SHERPA TOUR
42ordm-cross-de-san-juan,42º CROSS DE SAN JUAN
swim-montgo-2022,SWIM CALA MONTGÓ 2022
triatl-ciutat-de-cornell-2022,TRIATLÓ CIUTAT DE CORNELLÀ 2022
xxv-vuelta-a-pie-nocturna-a-tous,XXV VUELTA A PIE NOCTURNA A TOUS
5k-platja-de-almassora-76177,5K PLATJA DE ALMASSORA
xiv-volta-fons-deslida,XIV VOLTA FONTS ESLIDA 2022
carrera-del-barrio-del-lucero,CARRERA DEL BARRIO DEL LUCERO
1ordm-crono-ndash-escalada-mtb-valhondo-2022,1º Crono – Escalada MTB Valhondo 2022
iv-triatln-de-menores-coria-del-ro,IV TRIATLÓN DE MENORES CORIA DEL RÍO
campeonato-de-espantildea-de-triatlon-por-clubes---coruntildea-34743,Campeonato de España de Triatlón por Clubes - Coruña 2022
campeonato-de-espantildea-de-triatlon-por-relevos-mixtos---coruntildea-y-copa-del-mundo-de-paratriatlon,Campeonato de España de Triatlón por Relevos Mixtos - Coruña y Copa del Mundo de ParaTriatlón
mara---circuito-de-carreras-populares-diputacin-de-almera-2022,MARÍA - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2022
xxvi-carrera-popular-de-godelleta-2022,XXVI CARRERA POPULAR DE GODELLETA 2022
carrera-merza-2022,CARRERA MERZA 2022
carrera-del-vino-de-miedes-87660,CARRERA DEL VINO DE MIEDES 2022
6ta-etapa-serial-mtb-nuevo-leon,6ta Etapa Serial MTB Nuevo Leon
los-80-de-mojados,LOS 80 DE MOJADOS
15k-a-marintildea-banco-mediolanum,15K A Mariña Banco Mediolanum
la-sevillanovense-mtb,LA SEVILLANOVENSE MTB
40ordm-media-maratn-ldquosanto-domingo-ldquo,40º MEDIA MARATÓN “SANTO DOMINGO “
carrera-dia-del-padre,Carrera dia del padre
run-trail-alamos-2022,Run Trail Alamos 2022
corre-con-tu-enfermera,CORRE CON TU ENFERMERA
vi-total-bike-campotejar-68650,VI TOTAL BIKE CAMPOTEJAR 
xxxvi-travessia-platges-d-orpesa,XXXVI Travessia Platges d' Orpesa
medio-maratn-san-lorenzo-de-el-escorial,MEDIO MARATÓN SAN LORENZO DE EL ESCORIAL
befrost,BIFROST 2022
vii-desafo-vale,VII DESAFÍO VALE
i-media-maraton-btt-san-urbano,I MEDIA MARATON BTT SAN URBANO
cantabria-bike-race,Cantabria Bike Race
mozarabe-bike-race-2022,MOZARABE BIKE RACE 2022
carrera-nocturna-san-juan,CARRERA NOCTURNA SAN JUAN
iv-trail-trilhos-do-lobo-assalto-ao-cabeco-das-fraguas,"IV Trail Trilhos do Lobo ""Assalto ao Cabeço das Fráguas"""
xiaomi-pop-run,XIAOMI POP RUN
mtb-epic-up-pz-2022,MTB EPIC UP PZ 2022
fun-run-portaventura-world,FUN RUN PortAventura World
infernal-running-haro-capital-del-rioja--2022,INFERNAL RUNNING HARO. CAPITAL DEL RIOJA _ 2022
xix-carrera-popular-barrio-zofio,XIX Carrera Popular Barrio Zofío
superdad,CARRERA DIA DEL PADRE BOSQUE REAL
copa-lemark,Copa Lemark
carrera-ferromex-5k-y-10k-2022,Carrera FERROMEX 5K y 10K 2022
10-millas-amp-5km-del-dia-del-padre-2022,10 Millas & 5Km del Día del Padre 2022
carrera-dia-del-padre-bosques-2022,Carrera Día del Padre Bosque Real 2022
quijote-xtreme-race-series,QUIJOTE XTREME RACE SERIES
trail-fonts-montseny-2022,TRAIL FONTS MONTSENY 2022
ii-triatlon-de-menores-de-bernardos-cto-cyl-if-cd,II Triatlón de Menores de Bernardos (Cto. CyL IF-CD)
vertical-puntagorda-2022,VERTICAL PUNTAGORDA 2022
milla-atltica-xxi-trofeu-portocolom,MILLA ATLÈTICA XXI TROFEU PORTOCOLOM
campeonato-de-espantildea-de-triatlon-por-autonomias---logrontildeo,Campeonato de España de Triatlón por Autonomías - Logroño
v-carrera-popular-5k-villa-de-luarca,V CARRERA POPULAR 5K VILLA DE LUARCA
extrema-manzaneda,Extrema Manzaneda
backyard-bacqueville-en-caux,Backyard Bacqueville en Caux
1a-carrera-atleti-5k-y-10k-2022,1a Carrera Atleti 5K y 10K 2022
les-10-km-de-ste-adresse,Les 10 Km de Ste Adresse
campeonato-de-espantildea-de-triatlon-por-autonomiasrelevos---logrontildeo,Campeonato de España de Triatlón por Autonomías.RELEVOS - Logroño
night-trail-huatusco-2022,NIGHT TRAIL HUATUSCO 2022
sunset-running-festival-2022,Sunset Running Festival 2022
41a-cursa-popular-maria-victor,41a Cursa Popular Maria Víctor
maraton-de-fuego-orient-runners-63679,Maratón de Fuego Orient Runners
subway--21k-san-salvador,SUBWAY | 21K San Salvador 
xxii-triatlon-estandar-de-astudillo,XXII Triatlón estándar de Astudillo
imarcha-btt-castrillera-bike,I MARCHA BTT CASTRILLERA BIKE
xiv-marxa-nocturna-almenara-2022,XIV MARXA NOCTURNA ALMENARA 2022
xv-mitja-marato-de-sabadell,XV Mitja Marató de Sabadell
travesia-a-nado-san-juan-de-la-canal-2022,TRAVESIA A NADO SAN JUAN DE LA CANAL 2022
xiii-mountemplaria-2022,XIII MOUNTEMPLARIA 2022
pilgrim-race-2022,PILGRIM RACE 2022
andalucia-bike-race-by-garmin-2023,Andalucía Bike Race by Garmin 2023
duatl-sprint-gironella-2022,DUATLÓ SPRINT GIRONELLA 2022
ii-carrera-villa-de-burguillos-de-toledo, II CARRERA VILLA DE BURGUILLOS DE TOLEDO
10-km-solidarios-proyecto-hombre-ciudad-de-ponferrada,10 KM SOLIDARIOS PROYECTO HOMBRE CIUDAD DE PONFERRADA
triatlon-sprint-ciudad-de-valladolid-2022,Triatlón Sprint Ciudad de Valladolid 2022
villaumbrales-palencia-legua-a-legua-2022,VILLAUMBRALES PALENCIA LEGUA A LEGUA 2022
40-aniversario-del-estatuto-de-autonomia-de-castilla-la-mancha---guadalajara,40 Aniversario Del Estatuto De Autonomía De Castilla-la Mancha - Guadalajara
triatlon-cross-pitildea-2022,TRIATLON CROSS PIÑA 2022
triatlon-cross-promocion-pitildea-2022,TRIATLON CROSS PROMOCION PIÑA 2022
triatlon-de-menores-de-pitildea-de-campos-2022,TRIATLON DE MENORES DE PIÑA DE CAMPOS 2022
xv-edicion-trofeo-la-giganta-memorial-ismael-valverde,XV EDICION TROFEO LA GIGANTA. MEMORIAL ISMAEL VALVERDE
san-juan-2022,San Juan 2022
trikids-sant-antoni-2022,TRIKIDS SANT ANTONI 2022
8a-gran-carrera-pascual,8a Gran Carrera Pascual
--2022-54038,Красочный Забег 2022
wellness-running-2022,WELLNESS RUNNING 2022
triatlon-guaymas-2022,Triatlon Guaymas 2022
tatacoa-race,TATACOA RACE
trail-des-pierres-dorees-68698,TRAIL DES PIERRES DOREES
xvi-carrera-popular-nocturna-de-la-luna-llena,XVI CARRERA POPULAR NOCTURNA DE LA LUNA LLENA
travesia-solidaria-a-nado-semana-grande-de-santander-22,TRAVESIA SOLIDARIA A NADO SEMANA GRANDE DE SANTANDER 22
--54583,SCO half marathon
---laquoraquo,Tashkent International Marathon «Navruz» — WA Label
xxxv-popular-la-barona,XXXV POPULAR LA BARONA
xi-vuelta-al-hacho--vii-copa-de-espatildea--ii-campeonato-autonomico-de-ceuta,XI VUELTA AL HACHO  /  VII COPA DE ESPAÑA / II CAMPEONATO AUTONOMICO DE CEUTA
triple-corona,Triple Corona Edicion 2022
2022-triple-corona,2022 Triple Corona
xxxix-cross-del-ajo,XXXIX CROSS DEL AJO
ila-romatildea-mendi-maratoia,I.LA ROMAÑA MENDI MARATOIA
maori-race-aira-natura-2022,MAORI RACE AIRA NATURA 2022
ultra-trail-cordillera-blanca-2022,Ultra Trail Cordillera Blanca 2022
xiii-prueba-de-fondo-del-cordero-segurentildeo,"XIII Prueba de Fondo ""Del Cordero Segureño"""
xxiv-triatln-villa-de-estepona,XXIV TRIATLÓN VILLA DE ESTEPONA
carrera-del-sur-yellow-day-2022,Carrera del Sur YELLOW DAY 2022
reto-la-cima-del-guila-2022,Reto la Cima del Águila 2022
hospital-militar-5k-amp-10k-2022,Hospital Militar 5K & 10K 2022
magina-ultra-trail,MAGINA ULTRA TRAIL
verano-azul-2023,ESCUELA VERANO AZUL 2023
xxv-volta-a-peu-a-moixent,XXV VOLTA A PEU A MOIXENT
i-desafio-cantabro-ocr,I Desafío Cántabro OCR
5km-de-corazon-por-madero-2022,5Km de Corazón por Madero 2022
quertaro-maratn-2022,QUERÉTARO MARATÓN 2022
blast--the-meadows-28622,Blast @ The Meadows 28/6/22
ii-trail-de-montantildea-ldquociudad-de-alcalardquo-2022,II Trail de Montaña “Ciudad de Alcalá” 2022
vi-carrera-tesoro-visigodo-de-torredonjimeno,VI CARRERA TESORO VISIGODO DE TORREDONJIMENO
21k-chetumal-2022,21k Chetumal 2022
xxxvi-volta-a-peu-a-novetl,XXXVI VOLTA A PEU A NOVETLÈ 2022
night-trail-huatusco-2022-test2,NIGHT TRAIL HUATUSCO 2022 TEST2
carrera-nocturna-de-las-antorchas-2022,CARRERA NOCTURNA DE LAS ANTORCHAS TORRALBA DE RIBOTA 2022 A FAVOR DEL SINDROME DE RETT
i-campeonato-de-espatildea-liebre-mecnica-1200-regates-eliminatorias,I CAMPEONATO DE ESPAÑA LIEBRE MECÁNICA 1200 REGATES ELIMINATORIAS
i-campeonato-de-espatildea-liebre-mecnica-1200-regates-semifinales,I CAMPEONATO DE ESPAÑA LIEBRE MECÁNICA 1200 REGATES SEMIFINALES 
i-campeonato-de-espatildea-liebre-mecnica-1200-regates-final,I CAMPEONATO DE ESPAÑA LIEBRE MECÁNICA 1200 REGATES FINAL
passejada-popular-en-bicicleta,Passejada Popular en bicicleta
kirov-swiftman-festival,Kirov Swiftman Festival
xiii-triatlo-popular-portocolom-2022,XIII Triatló Popular Portocolom 2022
xxx-triatlon-de-somo,XXX TRIATLON DE SOMO
i-travesa-a-nado-rcnt,I TRAVESÍA A NADO RCNT 2022
iii-marcha-btt-portillo-de-toledo-2022,III MARCHA BTT PORTILLO DE TOLEDO 2022
viii-trail-nw-arenas-de-nueva-umbria-2022,VIII TRAIL-NW ARENAS DE NUEVA UMBRIA 2022
vii-carrera-nocturna---villa-de-la-guardia,VII Carrera Nocturna - Villa de La Guardia
xvi-cursa-iberica,XVI CURSA IBERICA 2022
iv-triatln-contrarreloj-por-equipos-villaricos---cuevas-del-almanzora,IV TRIATLÓN CONTRARRELOJ POR EQUIPOS VILLARICOS - CUEVAS DEL ALMANZORA
test-18800,test
xxi-novena-a-san-roque-2022,XXI NOVENA A SAN ROQUE 2022
triatlon-pepe-cossio-2022,Triatlón Pepe Cossío 2022
campeonato-de-espatildea-de-laser-run,CAMPEONATO DE ESPAÑA DE LASER RUN
gatorade-g15k-cdmx-2022,Gatorade G15K CDMX 2022
viii-carrera-solidaria-tahiche,VIII CARRERA SOLIDARIA TAHICHE 2022
gran-triatlon-madrid,GRAN TRIATLON MADRID
v-nocturna-de-sanchinarro--2022,V NOCTURNA DE SANCHINARRO | 2022
iii-nocturna-de-0catildea-2022, III NOCTURNA DE OCAÑA 2022 
carrera-de-la-mujer-gran-canaria-2022,Carrera de la Mujer Gran Canaria 2022
ii-triatln-ciudad-de-baena,II TRIATLÓN CIUDAD DE BAENA
carrerapopular-alborache-2022,CARRERA POPULAR ALBORACHE 2022
5-km-carrera-rula-de-aviles-ldquoxanapuederdquo,5 km. Carrera Rula de Avilés “Xanapuede”
vladivostok-triathlon---02072022,Vladivostok Triathlon - 02.07.2022
ziroko-trail-benarrab,ZIROKO TRAIL BENARRABÁ
xvii-carrera-popular-ruta-de-los-beros,XVII CARRERA POPULAR RUTA DE LOS ÍBEROS
lenas-trail-2022---mara-de-huerva,LENAS TRAIL 2022 - MARÍA DE HUERVA
carrera-ciclista-cero-vatios,Carrera Ciclista Cero Vatios
travessa-al-port-del-masnou-2022,Travessa al Port del Masnou 2022
xxxvii-media-maratn--10k---ciudad-de-zamora,XXXVII MEDIA MARATÓN / 10K - CIUDAD DE ZAMORA
xiii-cursa-muntanya-torreblanca-2022,Prueba
harbourman-2022,Harbourman 2022
ii-carrera-popular-playas-de-cadiz,II CARRERA POPULAR PLAYAS DE CADIZ
todo-terrerno-trail,TODO TERRENO TRAIL 2022
carrera-hijos-de-la-mala-vida-2022,Carrera Hijos de la Mala Vida 2022
1ra-gran-carrera-de-la-europlaza,1ra Gran Carrera de la Europlaza
v-edicin-btt-lanteira,V EDICIÓN BTT LANTEIRA
juegos-bolivarianos-individual,Juegos Bolivarianos Individual
course-de-la-mere-denis,Course de la Mère Denis
5-km-fortaleza-sindical-snte,5 KM FORTALEZA SINDICAL SNTE
la-nocturna-ciudad-de-guia,IX CARRERA NOCTURNA GUÍA
prueba-kafka,PRUEBA KAFKA
v-carrera-de-montatildea-canaleta-trail-argelita-2022, V CARRERA DE MONTAÑA CANALETA TRAIL ARGELITA 2022
far-west-trails-2022,FAR WEST TRAILS 2022
5-k-mascarell,5 K MASCARELL 2022
carreira-popular-san-fin,II CARREIRA POPULAR SAN FIZ
media-maraton-el-burgo-de-osma-2022,MEDIA MARATON EL BURGO DE OSMA 2022
gran-fondo-sivar,Gran Fondo Sivar
blast--the-meadows-5722,Blast @ The Meadows 5/7/22
vii-resistencia-nocturna-pub-6-kaires-llubi-2022,VII RESISTENCIA NOCTURNA PUB 6 KAIRES LLUBÍ 2022
arnoia-termal-sports-22-travesia-a-nado,"Arnoia Termal Sports 22, travesia a nado"
biegowe-pory-roku-2023,Biegowe Pory Roku 2023
juegos-bolivarianos-relevos,Juegos Bolivarianos Relevos
wakacyjny-boom,Wakacyjny BOOM - ODWOŁANY
xi-carrera-y-marcha-de-rabosa,XI CARRERA Y MARCHA DE RABOSA
xii-vola-a-peu-dalbuixech,XII VOLTA A PEU D'ALBUIXECH
10-k-nocturno-benicasim,10 K NOCTURNO BENICASSIM 2022
carrera-virtual-cjf-2022-10k-5k-y-3k,"Carrera Virtual CJF 2022: 10K, 5K Y 3K"
transcimas-mtb,Transcimas MTB
carrera-montatildea-14k-y-marcha-senderista,Trail y marcha Leonidas MONTE ROMEU
xviii-volta-a-peu-vila-dorpesa,XVIII Volta a Peu Vila De Oropesa
katangan-race-2022,Katangan Race 2022
10-k-nocturn-almassora-2022,10 K NOCTURN ALMASSORA 2022
iv-triatlon-cros-villa-de-castril,IV TRIATLON CROS VILLA DE CASTRIL
xi-carrera-popular-san-miguel,VI CARRERA POPULAR SAN MIGUEL
vi-nightrun---contrarreloj-nocturna-via-verde-oropesa-del-mar,Nightrun
iv-triatln-de-menores-ciudad-de-baza,IV TRIATLÓN DE MENORES CIUDAD DE BAZA
2ordf-carrera-nocturna-contra-las-adicciones-de-baza-2022,2ª Carrera Nocturna Contra las Adicciones de Baza 2022
master-zumba-almenara,MASTER ZUMBA ALMENARA
bastida-vital-trail-2022,BASTIDA VITAL TRAIL 2022
6ta-etapa-serial-mtb-chronosport-coahuila-sur--kapital-bikes,6ta. Etapa Serial MTB ChronoSport (Coahuila Sur / Kapital Bikes)
vtt-a-travers-leure,VTT A travers l'Eure
pujada-al-montcabrer,XXII PUJADA AL MONTCABRER
swim-by-sunset-2022,SWIM BY SUNSET 2022
bieg-uliczny-ndash-5-km-ndash-jestem-aktywny-w-ostrzeszowie,BIEG ULICZNY – 5 km – Jestem aktywny w Ostrzeszowie
xiv-andaina-e-vii-trail-concello-de-bande,"XIV ANDAINA e VII TRAIL ""CONCELLO DE BANDE"""
2da-edicion-vizcaya-fest-2022,2da Edición Vizcaya Fest 2022
xxv-edicin-de-la-carrera-popular-feria-y-fiestas-de-butildeol-2022,XXV EDICIÓN DE LA CARRERA POPULAR FERIA Y FIESTAS DE BUÑOL 2022
----09072022,"Фестиваль триатлона в Железногорске, 09.07.2022"
cuevas-del-almanzora-villaricos---circuito-de-carreras-populares-diputacin-de-almera-2022,CUEVAS DEL ALMANZORA (VILLARICOS) - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2022
xiii-crono-asperillas-2022,XIII CRONO ASPERILLAS 2022
liga-de-maratones-de-patinaje-de-madrid-2022---segunda-carrera-roller-maratn-de-viclvaro,LIGA DE MARATONES DE PATINAJE DE MADRID 2022 - SEGUNDA CARRERA ROLLER MARATÓN DE VICÁLVARO
xx-biegu-niepodlegoci,XX Bieg Niepodległości
vol-dguiles-2022,VOL D'ÀGUILES 2022
iv-trail-cirat,IV TRAIL CIRAT 2022
tatoo-endure-trail-running-ilal-12k,TATOO ENDURE TRAIL RUNNING ILALÓ 12K
kids-race,kids race 
carrera-atletica-de-la-fiscalia,Carrera Atlética de la Fiscalía 
two-provences,Two Provences
noctourna-sant-jaume-2022,NOCTURNA SANT JAUME 2022
ii-acuatln-escolar-triatln-cierzo,II ACUATLÓN ESCOLAR TRIATLÓN CIERZO
xvii-carrera-popular-ldquonoche-mgica-de-santiagordquo-2022-202,XVII CARRERA POPULAR “NOCHE MÁGICA DE SANTIAGO” 2022
travesia-memorial-nedant-fermi-morera-2022,Travessia Memorial Nedant Fermí Morera 2022
v-trail-a-la-vall-de-seg-2022,V TRAIL A LA VALL DE SEGÓ 2022 -CANCELADA-
iii-acuatln-triatln-cierzo---cto-aragon-de-acuatlon-2022,III ACUATLÓN TRIATLÓN CIERZO - Cto. Aragón de Acuatlón 2022
xxxiii-prueba-de-fondo-rio-dilar,"XXXIII Prueba de Fondo ""Río Dilar"""
--2022-26027,Женская Семерка 2022
colegio-juan-escutia-2022,Colegio Juan Escutia 2022
vuelta-a-los-pueblitos,Vuelta a los Pueblitos
i-btt-molinos-del-quijote---cc-pedrola,I BTT MOLINOS DEL QUIJOTE - C.C. PEDROLA
carrera-presencial-fiscalia-7km,Carrera Presencial Fiscalia 7KM
i-carrera-popular-ldquocorre-por-el-pueblo-saharauirdquo,I CARRERA POPULAR “CORRE POR EL PUEBLO SAHARAUI”
carrera-ica-2022,Carrera ICA 2022
xxii-legua-de-tielmes,XXII LEGUA DE TIELMES
